game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,home_decimal,away_decimal,source_match_ts,hours_delta,source_href
777763,2025-05-26,Los Angeles Angels,New York Yankees,163,-222,2.63,1.45,2025-05-27 01:38:00+00:00,0.0,/baseball-odds/usa-mlb/la-angels-ny-yankees-2025-05-27/1148826
777764,2025-05-26,Milwaukee Brewers,Boston Red Sox,136,-172,2.36,1.58,2025-05-26 18:10:00+00:00,0.0,/baseball-odds/usa-mlb/milwaukee-boston-2025-05-26/1148817
777769,2025-05-26,Cleveland Guardians,Los Angeles Dodgers,151,-192,2.51,1.52,2025-05-26 22:10:00+00:00,0.0,/baseball-odds/usa-mlb/cleveland-la-dodgers-2025-05-27/1150151
777770,2025-05-26,Detroit Tigers,San Francisco Giants,-110,-108,1.91,1.93,2025-05-26 17:10:00+00:00,0.0,/baseball-odds/usa-mlb/detroit-san-francisco-2025-05-26/1148816
777771,2025-05-26,Baltimore Orioles,St. Louis Cardinals,-102,-118,1.98,1.85,2025-05-26 19:05:00+00:00,0.0,/baseball-odds/usa-mlb/baltimore-st-louis-2025-05-26/1148819
777741,2025-05-27,Texas Rangers,Toronto Blue Jays,-145,117,1.69,2.17,2025-05-28 00:05:00+00:00,0.0,/baseball-odds/usa-mlb/texas-toronto-2025-05-28/1148835
777742,2025-05-27,San Diego Padres,Miami Marlins,-175,138,1.57,2.38,2025-05-28 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/san-diego-miami-2025-05-28/1148838
777743,2025-05-27,Seattle Mariners,Washington Nationals,-182,141,1.55,2.41,2025-05-28 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-washington-2025-05-28/1148839
777744,2025-05-27,Arizona Diamondbacks,Pittsburgh Pirates,-294,204,1.34,3.04,2025-05-28 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/arizona-pittsburgh-2025-05-28/1148840
777745,2025-05-27,Los Angeles Angels,New York Yankees,163,-217,2.63,1.46,2025-05-28 01:38:00+00:00,0.0,/baseball-odds/usa-mlb/la-angels-ny-yankees-2025-05-28/1148837
777746,2025-05-27,Tampa Bay Rays,Minnesota Twins,100,-127,2.0,1.79,2025-05-27 23:05:00+00:00,0.0,/baseball-odds/usa-mlb/tampa-bay-minnesota-2025-05-28/1148831
777747,2025-05-27,Milwaukee Brewers,Boston Red Sox,-114,-114,1.88,1.88,2025-05-27 23:40:00+00:00,0.0,/baseball-odds/usa-mlb/milwaukee-boston-2025-05-28/1148833
777748,2025-05-27,Philadelphia Phillies,Atlanta Braves,-114,-114,1.88,1.88,2025-05-27 22:45:00+00:00,0.0,/baseball-odds/usa-mlb/philadelphia-atlanta-2025-05-28/1148830
777749,2025-05-27,New York Mets,Chicago White Sox,-312,227,1.32,3.27,2025-05-27 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/ny-mets-white-sox-2025-05-28/1148832
777750,2025-05-27,Kansas City Royals,Cincinnati Reds,-122,104,1.82,2.04,2025-05-27 23:40:00+00:00,0.0,/baseball-odds/usa-mlb/kansas-city-cincinnati-2025-05-28/1148834
777751,2025-05-27,Chicago Cubs,Colorado Rockies,-345,268,1.29,3.68,2025-05-28 00:05:00+00:00,0.0,/baseball-odds/usa-mlb/cubs-colorado-2025-05-28/1148836
777752,2025-05-27,Houston Astros,Athletics,-233,188,1.43,2.88,2025-05-28 00:10:00+00:00,0.0,/baseball-odds/usa-mlb/houston-athletics-2025-05-28/1150153
777753,2025-05-27,Cleveland Guardians,Los Angeles Dodgers,105,-127,2.05,1.79,2025-05-27 22:10:00+00:00,0.0,/baseball-odds/usa-mlb/cleveland-la-dodgers-2025-05-28/1150152
777754,2025-05-27,Baltimore Orioles,St. Louis Cardinals,102,-127,2.02,1.79,2025-05-27 22:35:00+00:00,0.0,/baseball-odds/usa-mlb/baltimore-st-louis-2025-05-28/1148828
777755,2025-05-27,Detroit Tigers,San Francisco Giants,-103,-123,1.97,1.81,2025-05-27 22:40:00+00:00,0.0,/baseball-odds/usa-mlb/detroit-san-francisco-2025-05-28/1148829
777724,2025-05-28,Texas Rangers,Toronto Blue Jays,-135,106,1.74,2.06,2025-05-29 00:05:00+00:00,0.0,/baseball-odds/usa-mlb/texas-toronto-2025-05-29/1148851
777726,2025-05-28,San Diego Padres,Miami Marlins,-159,128,1.63,2.28,2025-05-28 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/san-diego-miami-2025-05-28/1148846
777728,2025-05-28,Los Angeles Angels,New York Yankees,135,-169,2.35,1.59,2025-05-29 01:38:00+00:00,0.0,/baseball-odds/usa-mlb/la-angels-ny-yankees-2025-05-29/1148853
777729,2025-05-28,Arizona Diamondbacks,Pittsburgh Pirates,-137,112,1.73,2.12,2025-05-28 19:40:00+00:00,0.0,/baseball-odds/usa-mlb/arizona-pittsburgh-2025-05-28/1148845
777730,2025-05-28,Seattle Mariners,Washington Nationals,-238,188,1.42,2.88,2025-05-29 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-washington-2025-05-29/1148854
777731,2025-05-28,Chicago Cubs,Colorado Rockies,-357,277,1.28,3.77,2025-05-29 00:05:00+00:00,0.0,/baseball-odds/usa-mlb/cubs-colorado-2025-05-29/1148852
777732,2025-05-28,Tampa Bay Rays,Minnesota Twins,-133,102,1.75,2.02,2025-05-28 17:10:00+00:00,0.0,/baseball-odds/usa-mlb/tampa-bay-minnesota-2025-05-28/1148844
777733,2025-05-28,Kansas City Royals,Cincinnati Reds,-103,-120,1.97,1.83,2025-05-28 23:40:00+00:00,0.0,/baseball-odds/usa-mlb/kansas-city-cincinnati-2025-05-29/1148850
777734,2025-05-28,Houston Astros,Athletics,-145,120,1.69,2.2,2025-05-28 18:10:00+00:00,0.0,/baseball-odds/usa-mlb/houston-athletics-2025-05-28/1150155
777736,2025-05-28,Milwaukee Brewers,Boston Red Sox,-159,131,1.63,2.31,2025-05-28 17:10:00+00:00,0.0,/baseball-odds/usa-mlb/milwaukee-boston-2025-05-28/1148842
