game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source_url
824601,2026-05-15,Chicago White Sox,Chicago Cubs,108,-128,https://fantasydata.com/mlb/chicago-cubs-odds
824925,2026-05-15,Atlanta Braves,Boston Red Sox,-153,128,https://fantasydata.com/mlb/atlanta-braves-odds
825009,2026-05-15,Athletics,San Francisco Giants,-130,110,https://fantasydata.com/mlb/athletics-odds
822737,2026-05-16,Washington Nationals,Baltimore Orioles,-107,-110,https://fantasydata.com/mlb/baltimore-orioles-odds
822981,2026-05-16,Tampa Bay Rays,Miami Marlins,-138,117,https://fantasydata.com/mlb/miami-marlins-odds
823060,2026-05-16,St. Louis Cardinals,Kansas City Royals,-111,-108,https://fantasydata.com/mlb/kansas-city-royals-odds
823139,2026-05-16,Seattle Mariners,San Diego Padres,-167,140,https://fantasydata.com/mlb/san-diego-padres-odds
823382,2026-05-16,Pittsburgh Pirates,Philadelphia Phillies,147,-176,https://fantasydata.com/mlb/philadelphia-phillies-odds
823627,2026-05-16,New York Mets,New York Yankees,106,-125,https://fantasydata.com/mlb/new-york-mets-odds
823706,2026-05-16,Minnesota Twins,Milwaukee Brewers,111,-132,https://fantasydata.com/mlb/milwaukee-brewers-odds
824038,2026-05-16,Los Angeles Angels,Los Angeles Dodgers,114,-135,https://fantasydata.com/mlb/los-angeles-angels-odds
824193,2026-05-16,Houston Astros,Texas Rangers,124,-148,https://fantasydata.com/mlb/houston-astros-odds
824278,2026-05-16,Detroit Tigers,Toronto Blue Jays,-116,-104,https://fantasydata.com/mlb/detroit-tigers-odds
824359,2026-05-16,Colorado Rockies,Arizona Diamondbacks,121,-143,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824435,2026-05-16,Cleveland Guardians,Cincinnati Reds,-152,127,https://fantasydata.com/mlb/cincinnati-reds-odds
824600,2026-05-16,Chicago White Sox,Chicago Cubs,-107,-112,https://fantasydata.com/mlb/chicago-cubs-odds
824924,2026-05-16,Atlanta Braves,Boston Red Sox,-121,102,https://fantasydata.com/mlb/atlanta-braves-odds
825007,2026-05-16,Athletics,San Francisco Giants,-138,116,https://fantasydata.com/mlb/athletics-odds
822738,2026-05-17,Washington Nationals,Baltimore Orioles,101,-120,https://fantasydata.com/mlb/baltimore-orioles-odds
822982,2026-05-17,Tampa Bay Rays,Miami Marlins,-148,124,https://fantasydata.com/mlb/miami-marlins-odds
823058,2026-05-17,St. Louis Cardinals,Kansas City Royals,-121,101,https://fantasydata.com/mlb/kansas-city-royals-odds
823138,2026-05-17,Seattle Mariners,San Diego Padres,-154,130,https://fantasydata.com/mlb/san-diego-padres-odds
823381,2026-05-17,Pittsburgh Pirates,Philadelphia Phillies,-128,108,https://fantasydata.com/mlb/philadelphia-phillies-odds
823628,2026-05-17,New York Mets,New York Yankees,-119,101,https://fantasydata.com/mlb/new-york-mets-odds
823708,2026-05-17,Minnesota Twins,Milwaukee Brewers,116,-137,https://fantasydata.com/mlb/milwaukee-brewers-odds
824034,2026-05-17,Los Angeles Angels,Los Angeles Dodgers,122,-146,https://fantasydata.com/mlb/los-angeles-angels-odds
824192,2026-05-17,Houston Astros,Texas Rangers,105,-125,https://fantasydata.com/mlb/houston-astros-odds
824279,2026-05-17,Detroit Tigers,Toronto Blue Jays,100,-119,https://fantasydata.com/mlb/detroit-tigers-odds
824358,2026-05-17,Colorado Rockies,Arizona Diamondbacks,121,-147,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824436,2026-05-17,Cleveland Guardians,Cincinnati Reds,-162,135,https://fantasydata.com/mlb/cincinnati-reds-odds
824599,2026-05-17,Chicago White Sox,Chicago Cubs,114,-134,https://fantasydata.com/mlb/chicago-cubs-odds
824923,2026-05-17,Atlanta Braves,Boston Red Sox,-151,126,https://fantasydata.com/mlb/atlanta-braves-odds
825006,2026-05-17,Athletics,San Francisco Giants,-149,126,https://fantasydata.com/mlb/athletics-odds
822734,2026-05-18,Washington Nationals,New York Mets,106,-125,https://fantasydata.com/mlb/new-york-mets-odds
822980,2026-05-18,Tampa Bay Rays,Baltimore Orioles,-144,120,https://fantasydata.com/mlb/baltimore-orioles-odds
823137,2026-05-18,Seattle Mariners,Chicago White Sox,-160,134,https://fantasydata.com/mlb/chicago-white-sox-odds
823301,2026-05-18,San Diego Padres,Los Angeles Dodgers,122,-146,https://fantasydata.com/mlb/los-angeles-dodgers-odds
823465,2026-05-18,Philadelphia Phillies,Cincinnati Reds,-120,101,https://fantasydata.com/mlb/cincinnati-reds-odds
823549,2026-05-18,New York Yankees,Toronto Blue Jays,-173,144,https://fantasydata.com/mlb/new-york-yankees-odds
823705,2026-05-18,Minnesota Twins,Houston Astros,-113,-105,https://fantasydata.com/mlb/houston-astros-odds
823867,2026-05-18,Miami Marlins,Atlanta Braves,-112,-107,https://fantasydata.com/mlb/atlanta-braves-odds
824035,2026-05-18,Los Angeles Angels,Athletics,111,-132,https://fantasydata.com/mlb/athletics-odds
824114,2026-05-18,Kansas City Royals,Boston Red Sox,-105,-114,https://fantasydata.com/mlb/boston-red-sox-odds
824277,2026-05-18,Detroit Tigers,Cleveland Guardians,-149,124,https://fantasydata.com/mlb/cleveland-guardians-odds
824357,2026-05-18,Colorado Rockies,Texas Rangers,122,-144,https://fantasydata.com/mlb/colorado-rockies-odds
824680,2026-05-18,Chicago Cubs,Milwaukee Brewers,-164,138,https://fantasydata.com/mlb/chicago-cubs-odds
825087,2026-05-18,Arizona Diamondbacks,San Francisco Giants,-135,114,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822736,2026-05-19,Washington Nationals,New York Mets,117,-140,https://fantasydata.com/mlb/new-york-mets-odds
822979,2026-05-19,Tampa Bay Rays,Baltimore Orioles,-112,-106,https://fantasydata.com/mlb/baltimore-orioles-odds
823059,2026-05-19,St. Louis Cardinals,Pittsburgh Pirates,-113,-106,https://fantasydata.com/mlb/pittsburgh-pirates-odds
823136,2026-05-19,Seattle Mariners,Chicago White Sox,-140,118,https://fantasydata.com/mlb/chicago-white-sox-odds
823302,2026-05-19,San Diego Padres,Los Angeles Dodgers,142,-170,https://fantasydata.com/mlb/los-angeles-dodgers-odds
823464,2026-05-19,Philadelphia Phillies,Cincinnati Reds,-140,118,https://fantasydata.com/mlb/cincinnati-reds-odds
823548,2026-05-19,New York Yankees,Toronto Blue Jays,-133,112,https://fantasydata.com/mlb/new-york-yankees-odds
823704,2026-05-19,Minnesota Twins,Houston Astros,-140,118,https://fantasydata.com/mlb/houston-astros-odds
823865,2026-05-19,Miami Marlins,Atlanta Braves,121,-143,https://fantasydata.com/mlb/atlanta-braves-odds
824033,2026-05-19,Los Angeles Angels,Athletics,-138,116,https://fantasydata.com/mlb/athletics-odds
824112,2026-05-19,Kansas City Royals,Boston Red Sox,111,-130,https://fantasydata.com/mlb/boston-red-sox-odds
824276,2026-05-19,Detroit Tigers,Cleveland Guardians,134,-161,https://fantasydata.com/mlb/cleveland-guardians-odds
824356,2026-05-19,Colorado Rockies,Texas Rangers,-111,-107,https://fantasydata.com/mlb/colorado-rockies-odds
824677,2026-05-19,Chicago Cubs,Milwaukee Brewers,104,-124,https://fantasydata.com/mlb/chicago-cubs-odds
825086,2026-05-19,Arizona Diamondbacks,San Francisco Giants,-124,105,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822735,2026-05-20,Washington Nationals,New York Mets,105,-124,https://fantasydata.com/mlb/new-york-mets-odds
822977,2026-05-20,Tampa Bay Rays,Baltimore Orioles,-121,102,https://fantasydata.com/mlb/baltimore-orioles-odds
823057,2026-05-20,St. Louis Cardinals,Pittsburgh Pirates,-116,-103,https://fantasydata.com/mlb/pittsburgh-pirates-odds
823134,2026-05-20,Seattle Mariners,Chicago White Sox,-146,122,https://fantasydata.com/mlb/chicago-white-sox-odds
823299,2026-05-20,San Diego Padres,Los Angeles Dodgers,164,-197,https://fantasydata.com/mlb/los-angeles-dodgers-odds
823462,2026-05-20,Philadelphia Phillies,Cincinnati Reds,-156,131,https://fantasydata.com/mlb/cincinnati-reds-odds
823547,2026-05-20,New York Yankees,Toronto Blue Jays,-172,143,https://fantasydata.com/mlb/new-york-yankees-odds
823703,2026-05-20,Minnesota Twins,Houston Astros,-144,122,https://fantasydata.com/mlb/houston-astros-odds
