game_id,game_date,week,home_team,away_team,home_score,away_score,predicted_spread,home_win_probability,confidence,model_disagreement,home_win_prob_from_model,win_prob_from_spread,home_win,actual_margin,predicted_margin,predicted_home_win,correct_winner
2025_02_LA_TEN,2025-09-14,2,TEN,LA,19,33,-3.765209043956087,0.5742659602751412,0.14853192055028241,0.6480301636058475,0.08824333757075552,0.7362735011766031,0,-14,3.765209043956087,1,False
2025_02_NE_MIA,2025-09-14,2,MIA,NE,27,33,-4.0924340196249815,0.6925073386060241,0.3850146772120482,0.13137460296620584,0.6235138458284811,0.754888448794687,0,-6,4.0924340196249815,1,False
2025_02_NYG_DAL,2025-09-14,2,DAL,NYG,40,37,-2.0199799277623818,0.678717731589164,0.3574354631783281,0.11044575846739246,0.7336381011373349,0.6231923426699424,1,3,2.0199799277623818,1,True
2025_02_PHI_KC,2025-09-14,2,KC,PHI,17,20,-4.8237310070899575,0.6802106352273152,0.36042127045463035,0.4519065501576249,0.34128072260909653,0.7931872727667214,0,-3,4.8237310070899575,1,False
2025_02_SEA_PIT,2025-09-14,2,PIT,SEA,17,31,1.3543963935803887,0.4512636178312799,0.09747276433744023,0.19371530403078174,0.5690981329297045,0.3753828288989227,0,-14,-1.3543963935803887,0,True
2025_02_SF_NO,2025-09-14,2,NO,SF,21,26,-3.517897083104497,0.5632734074553482,0.1265468149106963,0.6333734265127902,0.08824333757075552,0.7216167640835457,0,-5,3.517897083104497,1,False
2025_02_LAC_LV,2025-09-15,2,LV,LAC,9,20,-2.1317367220137866,0.5551066759161062,0.11021335183221237,0.30370197261376297,0.327330196455784,0.631032169069547,0,-11,2.1317367220137866,1,False
2025_02_TB_HOU,2025-09-15,2,HOU,TB,19,20,-6.3628823601824545,0.8834211761069153,0.7668423522138306,0.04125141731551574,0.9001280780747308,0.8588766607592151,0,-1,6.3628823601824545,1,False
2025_03_MIA_BUF,2025-09-18,3,BUF,MIA,31,21,-0.3521108484890993,0.5719745305340921,0.14394906106818417,0.1666099141178935,0.6672998184518506,0.5006899043339571,1,10,0.3521108484890993,1,True
2025_03_ARI_SF,2025-09-21,3,SF,ARI,16,15,-3.7669286386344347,0.6121541442623829,0.2243082885247658,0.49687806122606776,0.23949559834283213,0.7363736595688999,1,1,3.7669286386344347,1,True
2025_03_ATL_CAR,2025-09-21,3,CAR,ATL,30,0,-3.2045359263479676,0.5665071503229299,0.13301430064585973,0.5433493113719783,0.15899516679394626,0.7023444781659245,1,30,3.2045359263479676,1,True
2025_03_CIN_MIN,2025-09-21,3,MIN,CIN,48,10,-6.1900935654858715,0.6958456056578872,0.39169121131577445,0.626521704298989,0.22595432743364546,0.8524760317326345,1,38,6.1900935654858715,1,True
2025_03_DAL_CHI,2025-09-21,3,CHI,DAL,31,14,-5.656919861899279,0.712071350111704,0.42414270022340794,0.4765406768024498,0.35466584250986666,0.8312065193123165,1,17,5.656919861899279,1,True
2025_03_DEN_LAC,2025-09-21,3,LAC,DEN,23,20,2.766218174340299,0.32169640160479385,0.3566071967904123,0.07077957201752705,0.3531489155642407,0.28236934354671367,1,3,-2.766218174340299,0,False
2025_03_GB_CLE,2025-09-21,3,CLE,GB,13,10,-3.138812342826767,0.5643259869507289,0.12865197390145777,0.5355205112582463,0.16268560350704422,0.6982061147652905,1,3,3.138812342826767,1,True
2025_03_HOU_JAX,2025-09-21,3,JAX,HOU,17,10,-2.981526507767611,0.7558248186204654,0.5116496372409307,0.15061564446146813,0.838787057324037,0.6881714128625689,1,7,2.981526507767611,1,True
2025_03_IND_TEN,2025-09-21,3,TEN,IND,20,41,-2.5690808448825018,0.533762648501609,0.06752529700321808,0.5090362446931702,0.15198546498173138,0.6610217096749016,0,-21,2.5690808448825018,1,False
2025_03_KC_NYG,2025-09-21,3,NYG,KC,9,22,-0.5081251823130836,0.4063521672501767,0.1872956654996466,0.4241451062392283,0.08824333757075552,0.5123884438099838,0,-13,0.5081251823130836,0,True
2025_03_LA_PHI,2025-09-21,3,PHI,LA,33,26,-1.4746354316541053,0.46011572707506415,0.0797685458498717,0.49582985267241153,0.08824333757075552,0.5840731902431671,1,7,1.4746354316541053,0,False
2025_03_LV_WAS,2025-09-21,3,WAS,LV,41,24,0.05388917933202484,0.43660184712152694,0.12679630575694611,0.058927921516075066,0.41134707467862774,0.4702749961947028,1,17,-0.05388917933202484,0,False
2025_03_NO_SEA,2025-09-21,3,SEA,NO,44,13,-1.5265739266833451,0.645858248940975,0.29171649788195,0.11761342279706477,0.7054668365493357,0.587853413752271,1,31,1.5265739266833451,1,True
2025_03_NYJ_TB,2025-09-21,3,TB,NYJ,29,27,1.0462248996828152,0.48734047312991224,0.025319053740175512,0.3601745429768699,0.7574713803625647,0.39729683738569477,1,2,-1.0462248996828152,0,False
2025_03_PIT_NE,2025-09-21,3,NE,PIT,14,21,0.7826473062417947,0.3480656517017129,0.30386869659657423,0.15329987141361545,0.2630762292730394,0.41637610068665487,0,-7,-0.7826473062417947,0,True
2025_03_DET_BAL,2025-09-22,3,BAL,DET,30,38,-1.9552247802409584,0.48602563288911277,0.027948734221774463,0.5303763937578096,0.08824333757075552,0.6186197313285652,0,-8,1.9552247802409584,0,True
2025_04_SEA_ARI,2025-09-25,4,ARI,SEA,20,23,4.290472650237184,0.14362599605058787,0.7127480078988242,0.11116195589300924,0.08824333757075552,0.19940529346376476,0,-3,-4.290472650237184,0,True
2025_04_BAL_KC,2025-09-28,4,KC,BAL,37,20,-4.586573603954244,0.702238020878301,0.404476041756602,0.2320000567627275,0.5492726325608014,0.7812726893235289,1,17,4.586573603954244,1,True
2025_04_CAR_NE,2025-09-28,4,NE,CAR,42,13,-9.23178138395921,0.8104955537334482,0.6209911074668963,0.49813967806478265,0.4368907951848612,0.9350304732496438,1,29,9.23178138395921,1,True
2025_04_CHI_LV,2025-09-28,4,LV,CHI,24,25,-1.9864948480897577,0.5265160808679592,0.053032161735918404,0.3772577290761216,0.24357278406086796,0.6208305131369896,0,-1,1.9864948480897577,1,False
2025_04_CLE_DET,2025-09-28,4,DET,CLE,34,10,-3.2294639120923727,0.7770221077512052,0.5540442155024103,0.17609928061388547,0.8800047981430357,0.7039055175291502,1,24,3.2294639120923727,1,True
2025_04_GB_DAL,2025-09-28,4,DAL,GB,40,40,-1.1164972204777335,0.48118862089846165,0.0376227582030767,0.19918967440819269,0.3585701996678051,0.5577598740759978,0,0,1.1164972204777335,0,True
2025_04_IND_LA,2025-09-28,4,LA,IND,27,20,-7.295719565510405,0.7250561936900386,0.4501123873800772,0.657853162224787,0.2316663220214484,0.8895194842462354,1,7,7.295719565510405,1,True
2025_04_JAX_SF,2025-09-28,4,SF,JAX,21,26,0.07329469156676974,0.39620336418391844,0.20759327163216312,0.1734090490049638,0.29541593266310656,0.46882498166807035,0,-5,-0.07329469156676974,0,True
2025_04_LAC_NYG,2025-09-28,4,NYG,LAC,21,18,-5.737830795222826,0.6954690747234731,0.39093814944694616,0.5564628592639964,0.2781219302754757,0.8345847895394721,1,3,5.737830795222826,1,True
2025_04_MIN_PIT,2025-09-28,4,PIT,MIN,24,21,0.6689260588851933,0.34555735716346525,0.3088852856730695,0.2356919684694455,0.18899756286448982,0.42468953133393533,1,3,-0.6689260588851933,0,False
