game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source_url
823775,2026-06-16,Milwaukee Brewers,Cleveland Guardians,-155,130,https://fantasydata.com/mlb/cleveland-guardians-odds
823939,2026-06-16,Los Angeles Dodgers,Tampa Bay Rays,-151,126,https://fantasydata.com/mlb/los-angeles-dodgers-odds
824182,2026-06-16,Houston Astros,Detroit Tigers,-151,126,https://fantasydata.com/mlb/detroit-tigers-odds
824504,2026-06-16,Cincinnati Reds,New York Mets,105,-125,https://fantasydata.com/mlb/cincinnati-reds-odds
824667,2026-06-16,Chicago Cubs,Colorado Rockies,-196,164,https://fantasydata.com/mlb/chicago-cubs-odds
824750,2026-06-16,Boston Red Sox,Toronto Blue Jays,-101,-120,https://fantasydata.com/mlb/boston-red-sox-odds
824912,2026-06-16,Atlanta Braves,San Francisco Giants,-161,135,https://fantasydata.com/mlb/atlanta-braves-odds
824991,2026-06-16,Athletics,Pittsburgh Pirates,-132,112,https://fantasydata.com/mlb/athletics-odds
825070,2026-06-16,Arizona Diamondbacks,Los Angeles Angels,-112,-108,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822721,2026-06-17,Washington Nationals,Kansas City Royals,-135,114,https://fantasydata.com/mlb/kansas-city-royals-odds
823044,2026-06-17,St. Louis Cardinals,San Diego Padres,-128,109,https://fantasydata.com/mlb/san-diego-padres-odds
823127,2026-06-17,Seattle Mariners,Baltimore Orioles,-133,112,https://fantasydata.com/mlb/baltimore-orioles-odds
823450,2026-06-17,Philadelphia Phillies,Miami Marlins,-121,103,https://fantasydata.com/mlb/miami-marlins-odds
823536,2026-06-17,New York Yankees,Chicago White Sox,-181,152,https://fantasydata.com/mlb/chicago-white-sox-odds
823774,2026-06-17,Milwaukee Brewers,Cleveland Guardians,-127,107,https://fantasydata.com/mlb/cleveland-guardians-odds
823940,2026-06-17,Los Angeles Dodgers,Tampa Bay Rays,-162,135,https://fantasydata.com/mlb/los-angeles-dodgers-odds
824178,2026-06-17,Houston Astros,Detroit Tigers,-111,-107,https://fantasydata.com/mlb/detroit-tigers-odds
824503,2026-06-17,Cincinnati Reds,New York Mets,115,-136,https://fantasydata.com/mlb/cincinnati-reds-odds
824668,2026-06-17,Chicago Cubs,Colorado Rockies,-211,177,https://fantasydata.com/mlb/chicago-cubs-odds
824746,2026-06-17,Boston Red Sox,Toronto Blue Jays,-118,-101,https://fantasydata.com/mlb/boston-red-sox-odds
824913,2026-06-17,Atlanta Braves,San Francisco Giants,-141,118,https://fantasydata.com/mlb/atlanta-braves-odds
824992,2026-06-17,Athletics,Pittsburgh Pirates,116,-137,https://fantasydata.com/mlb/athletics-odds
825072,2026-06-17,Arizona Diamondbacks,Los Angeles Angels,-177,148,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822889,2026-06-18,Texas Rangers,Minnesota Twins,104,-124,https://fantasydata.com/mlb/minnesota-twins-odds
823125,2026-06-18,Seattle Mariners,Baltimore Orioles,-134,114,https://fantasydata.com/mlb/baltimore-orioles-odds
823448,2026-06-18,Philadelphia Phillies,New York Mets,-122,102,https://fantasydata.com/mlb/new-york-mets-odds
823533,2026-06-18,New York Yankees,Chicago White Sox,-168,141,https://fantasydata.com/mlb/chicago-white-sox-odds
823772,2026-06-18,Milwaukee Brewers,Cleveland Guardians,-148,125,https://fantasydata.com/mlb/cleveland-guardians-odds
824098,2026-06-18,Kansas City Royals,St. Louis Cardinals,-113,-106,https://fantasydata.com/mlb/kansas-city-royals-odds
824748,2026-06-18,Boston Red Sox,Toronto Blue Jays,-139,117,https://fantasydata.com/mlb/boston-red-sox-odds
824989,2026-06-18,Athletics,Los Angeles Angels,-194,161,https://fantasydata.com/mlb/athletics-odds
822886,2026-06-19,Texas Rangers,San Diego Padres,-157,133,https://fantasydata.com/mlb/san-diego-padres-odds
822966,2026-06-19,Tampa Bay Rays,Washington Nationals,-160,134,https://fantasydata.com/mlb/tampa-bay-rays-odds
823124,2026-06-19,Seattle Mariners,Boston Red Sox,-118,100,https://fantasydata.com/mlb/boston-red-sox-odds
823534,2026-06-19,New York Yankees,Cincinnati Reds,-282,230,https://fantasydata.com/mlb/cincinnati-reds-odds
823853,2026-06-19,Miami Marlins,San Francisco Giants,-113,-105,https://fantasydata.com/mlb/miami-marlins-odds
823936,2026-06-19,Los Angeles Dodgers,Baltimore Orioles,-212,175,https://fantasydata.com/mlb/baltimore-orioles-odds
824097,2026-06-19,Kansas City Royals,St. Louis Cardinals,102,-121,https://fantasydata.com/mlb/kansas-city-royals-odds
824179,2026-06-19,Houston Astros,Cleveland Guardians,-126,107,https://fantasydata.com/mlb/cleveland-guardians-odds
824264,2026-06-19,Detroit Tigers,Chicago White Sox,-204,170,https://fantasydata.com/mlb/chicago-white-sox-odds
824345,2026-06-19,Colorado Rockies,Pittsburgh Pirates,119,-140,https://fantasydata.com/mlb/colorado-rockies-odds
824663,2026-06-19,Chicago Cubs,Toronto Blue Jays,-124,105,https://fantasydata.com/mlb/chicago-cubs-odds
824910,2026-06-19,Atlanta Braves,Milwaukee Brewers,147,-177,https://fantasydata.com/mlb/atlanta-braves-odds
824990,2026-06-19,Athletics,Los Angeles Angels,-155,130,https://fantasydata.com/mlb/athletics-odds
