game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source
778407,2025-04-08,New York Mets,Miami Marlins,-303,208,checkbestodds
778408,2025-04-08,Pittsburgh Pirates,St. Louis Cardinals,-149,116,checkbestodds
778409,2025-04-08,Washington Nationals,Los Angeles Dodgers,138,-185,checkbestodds
778417,2025-04-08,Tampa Bay Rays,Los Angeles Angels,-182,144,checkbestodds
778376,2025-04-09,San Francisco Giants,Cincinnati Reds,-147,121,checkbestodds
778379,2025-04-09,Colorado Rockies,Milwaukee Brewers,123,-159,checkbestodds
778380,2025-04-09,Arizona Diamondbacks,Baltimore Orioles,-123,-103,checkbestodds
778381,2025-04-09,Athletics,San Diego Padres,-147,117,checkbestodds
778383,2025-04-09,Seattle Mariners,Houston Astros,120,-149,checkbestodds
778385,2025-04-09,Chicago Cubs,Texas Rangers,-175,140,checkbestodds
778386,2025-04-09,Boston Red Sox,Toronto Blue Jays,-130,105,checkbestodds
778387,2025-04-09,Detroit Tigers,New York Yankees,120,-154,checkbestodds
778388,2025-04-09,Kansas City Royals,Minnesota Twins,-109,-116,checkbestodds
778389,2025-04-09,Pittsburgh Pirates,St. Louis Cardinals,-106,-122,checkbestodds
778390,2025-04-09,New York Mets,Miami Marlins,-217,172,checkbestodds
778391,2025-04-09,Cleveland Guardians,Chicago White Sox,-179,133,checkbestodds
778392,2025-04-09,Washington Nationals,Los Angeles Dodgers,153,-196,checkbestodds
778393,2025-04-09,Atlanta Braves,Philadelphia Phillies,-159,120,checkbestodds
778399,2025-04-09,Tampa Bay Rays,Los Angeles Angels,-147,116,checkbestodds
778371,2025-04-10,Colorado Rockies,Milwaukee Brewers,107,-141,checkbestodds
778373,2025-04-10,Kansas City Royals,Minnesota Twins,-122,-106,checkbestodds
778377,2025-04-10,Boston Red Sox,Toronto Blue Jays,-139,106,checkbestodds
778378,2025-04-10,Cleveland Guardians,Chicago White Sox,-263,185,checkbestodds
778382,2025-04-10,Tampa Bay Rays,Los Angeles Angels,-125,-104,checkbestodds
778384,2025-04-10,Atlanta Braves,Philadelphia Phillies,-156,115,checkbestodds
778356,2025-04-11,Los Angeles Dodgers,Chicago Cubs,-189,142,checkbestodds
778358,2025-04-11,Athletics,New York Mets,105,-127,checkbestodds
778360,2025-04-11,Seattle Mariners,Texas Rangers,104,-132,checkbestodds
778361,2025-04-11,San Diego Padres,Colorado Rockies,-213,163,checkbestodds
778363,2025-04-11,Minnesota Twins,Detroit Tigers,-119,-102,checkbestodds
778364,2025-04-11,Arizona Diamondbacks,Milwaukee Brewers,-159,128,checkbestodds
778365,2025-04-11,St. Louis Cardinals,Philadelphia Phillies,-110,-110,checkbestodds
778366,2025-04-11,Chicago White Sox,Boston Red Sox,129,-167,checkbestodds
778367,2025-04-11,Tampa Bay Rays,Atlanta Braves,-139,112,checkbestodds
778368,2025-04-11,Houston Astros,Los Angeles Angels,-139,117,checkbestodds
778369,2025-04-11,Miami Marlins,Washington Nationals,-106,-116,checkbestodds
778370,2025-04-11,New York Yankees,San Francisco Giants,-141,113,checkbestodds
778374,2025-04-11,Cincinnati Reds,Pittsburgh Pirates,-175,135,checkbestodds
778375,2025-04-11,Cleveland Guardians,Kansas City Royals,-132,101,checkbestodds
778341,2025-04-12,Seattle Mariners,Texas Rangers,-154,127,checkbestodds
778345,2025-04-12,Los Angeles Dodgers,Chicago Cubs,-189,140,checkbestodds
778346,2025-04-12,Athletics,New York Mets,109,-132,checkbestodds
778347,2025-04-12,St. Louis Cardinals,Philadelphia Phillies,153,-192,checkbestodds
778348,2025-04-12,Minnesota Twins,Detroit Tigers,-179,129,checkbestodds
778349,2025-04-12,Chicago White Sox,Boston Red Sox,129,-172,checkbestodds
778350,2025-04-12,Arizona Diamondbacks,Milwaukee Brewers,-172,133,checkbestodds
778351,2025-04-12,Houston Astros,Los Angeles Angels,-175,140,checkbestodds
778352,2025-04-12,San Diego Padres,Colorado Rockies,-179,133,checkbestodds
778353,2025-04-12,Tampa Bay Rays,Atlanta Braves,-147,111,checkbestodds
778354,2025-04-12,Miami Marlins,Washington Nationals,-145,111,checkbestodds
778355,2025-04-12,New York Yankees,San Francisco Giants,-145,111,checkbestodds
778357,2025-04-12,Cincinnati Reds,Pittsburgh Pirates,-120,-108,checkbestodds
778359,2025-04-12,Cleveland Guardians,Kansas City Royals,-137,114,checkbestodds
778362,2025-04-12,Baltimore Orioles,Toronto Blue Jays,-128,-102,checkbestodds
778329,2025-04-13,Houston Astros,Los Angeles Angels,-175,131,checkbestodds
778330,2025-04-13,San Diego Padres,Colorado Rockies,-278,218,checkbestodds
778331,2025-04-13,Los Angeles Dodgers,Chicago Cubs,-244,175,checkbestodds
778332,2025-04-13,Arizona Diamondbacks,Milwaukee Brewers,-119,113,checkbestodds
778333,2025-04-13,Athletics,New York Mets,123,-149,checkbestodds
778334,2025-04-13,Seattle Mariners,Texas Rangers,-152,121,checkbestodds
778335,2025-04-13,Minnesota Twins,Detroit Tigers,-110,-103,checkbestodds
778336,2025-04-13,St. Louis Cardinals,Philadelphia Phillies,135,-175,checkbestodds
778337,2025-04-13,Miami Marlins,Washington Nationals,121,-156,checkbestodds
778338,2025-04-13,Chicago White Sox,Boston Red Sox,181,-256,checkbestodds
778339,2025-04-13,New York Yankees,San Francisco Giants,-127,100,checkbestodds
778340,2025-04-13,Tampa Bay Rays,Atlanta Braves,135,-167,checkbestodds
778342,2025-04-13,Cleveland Guardians,Kansas City Royals,116,-141,checkbestodds
778343,2025-04-13,Cincinnati Reds,Pittsburgh Pirates,-204,149,checkbestodds
778344,2025-04-13,Baltimore Orioles,Toronto Blue Jays,-147,125,checkbestodds
778315,2025-04-14,San Diego Padres,Chicago Cubs,-149,120,checkbestodds
778320,2025-04-14,Philadelphia Phillies,San Francisco Giants,-119,-106,checkbestodds
778321,2025-04-14,Pittsburgh Pirates,Washington Nationals,-227,163,checkbestodds
778322,2025-04-14,Toronto Blue Jays,Atlanta Braves,-102,-114,checkbestodds
778323,2025-04-14,Milwaukee Brewers,Detroit Tigers,133,-179,checkbestodds
778324,2025-04-14,Minnesota Twins,New York Mets,-120,-105,checkbestodds
778325,2025-04-14,St. Louis Cardinals,Houston Astros,-109,-115,checkbestodds
778326,2025-04-14,Los Angeles Dodgers,Colorado Rockies,-370,263,checkbestodds
778327,2025-04-14,New York Yankees,Kansas City Royals,-147,117,checkbestodds
778328,2025-04-14,Tampa Bay Rays,Boston Red Sox,-122,-102,checkbestodds
778302,2025-04-15,Los Angeles Dodgers,Colorado Rockies,-303,238,checkbestodds
778305,2025-04-15,San Diego Padres,Chicago Cubs,125,-161,checkbestodds
778306,2025-04-15,Texas Rangers,Los Angeles Angels,-147,107,checkbestodds
778307,2025-04-15,Minnesota Twins,New York Mets,-112,-115,checkbestodds
778308,2025-04-15,St. Louis Cardinals,Houston Astros,116,-145,checkbestodds
778309,2025-04-15,Chicago White Sox,Athletics,133,-167,checkbestodds
778310,2025-04-15,Milwaukee Brewers,Detroit Tigers,-115,-112,checkbestodds
778311,2025-04-15,Toronto Blue Jays,Atlanta Braves,-106,-116,checkbestodds
778312,2025-04-15,New York Yankees,Kansas City Royals,-263,196,checkbestodds
778313,2025-04-15,Philadelphia Phillies,San Francisco Giants,-164,131,checkbestodds
778314,2025-04-15,Pittsburgh Pirates,Washington Nationals,-132,103,checkbestodds
778316,2025-04-15,Cincinnati Reds,Seattle Mariners,-109,-116,checkbestodds
778317,2025-04-15,Baltimore Orioles,Cleveland Guardians,-152,125,checkbestodds
778318,2025-04-15,Miami Marlins,Arizona Diamondbacks,127,-154,checkbestodds
778319,2025-04-15,Tampa Bay Rays,Boston Red Sox,-132,103,checkbestodds
778287,2025-04-16,Los Angeles Dodgers,Colorado Rockies,-345,243,checkbestodds
778288,2025-04-16,San Diego Padres,Chicago Cubs,-111,-111,checkbestodds
778289,2025-04-16,Texas Rangers,Los Angeles Angels,112,-139,checkbestodds
778290,2025-04-16,St. Louis Cardinals,Houston Astros,-106,-119,checkbestodds
778293,2025-04-16,Pittsburgh Pirates,Washington Nationals,-125,-104,checkbestodds
778294,2025-04-16,Chicago White Sox,Athletics,131,-164,checkbestodds
778295,2025-04-16,Milwaukee Brewers,Detroit Tigers,-154,123,checkbestodds
778296,2025-04-16,Philadelphia Phillies,San Francisco Giants,-152,114,checkbestodds
778297,2025-04-16,Toronto Blue Jays,Atlanta Braves,101,-128,checkbestodds
778298,2025-04-16,Tampa Bay Rays,Boston Red Sox,-141,107,checkbestodds
778299,2025-04-16,Minnesota Twins,New York Mets,-118,-102,checkbestodds
778300,2025-04-16,New York Yankees,Kansas City Royals,-167,138,checkbestodds
778301,2025-04-16,Baltimore Orioles,Cleveland Guardians,-122,101,checkbestodds
778303,2025-04-16,Miami Marlins,Arizona Diamondbacks,117,-147,checkbestodds
778304,2025-04-16,Cincinnati Reds,Seattle Mariners,-114,-114,checkbestodds
778278,2025-04-17,New York Mets,St. Louis Cardinals,-139,106,checkbestodds
778279,2025-04-17,Philadelphia Phillies,San Francisco Giants,-213,161,checkbestodds
778280,2025-04-17,Pittsburgh Pirates,Washington Nationals,-159,121,checkbestodds
778281,2025-04-17,Texas Rangers,Los Angeles Angels,-161,126,checkbestodds
778282,2025-04-17,Tampa Bay Rays,New York Yankees,-109,-105,checkbestodds
778283,2025-04-17,Chicago White Sox,Athletics,108,-135,checkbestodds
778285,2025-04-17,Cincinnati Reds,Seattle Mariners,-123,105,checkbestodds
778286,2025-04-17,Detroit Tigers,Kansas City Royals,-159,131,checkbestodds
778291,2025-04-17,Miami Marlins,Arizona Diamondbacks,121,-156,checkbestodds
778292,2025-04-17,Baltimore Orioles,Cleveland Guardians,-128,106,checkbestodds
778260,2025-04-18,Los Angeles Angels,San Francisco Giants,128,-169,checkbestodds
778261,2025-04-18,Milwaukee Brewers,Athletics,-200,153,checkbestodds
778263,2025-04-18,Texas Rangers,Los Angeles Dodgers,-102,-128,checkbestodds
778268,2025-04-18,Chicago Cubs,Arizona Diamondbacks,-108,-120,checkbestodds
778269,2025-04-18,Houston Astros,San Diego Padres,-185,136,checkbestodds
778270,2025-04-18,New York Mets,St. Louis Cardinals,-233,175,checkbestodds
778271,2025-04-18,Pittsburgh Pirates,Cleveland Guardians,105,-127,checkbestodds
778272,2025-04-18,Tampa Bay Rays,New York Yankees,-102,-125,checkbestodds
778273,2025-04-18,Toronto Blue Jays,Seattle Mariners,-132,-104,checkbestodds
778274,2025-04-18,Philadelphia Phillies,Miami Marlins,-238,188,checkbestodds
778275,2025-04-18,Boston Red Sox,Chicago White Sox,-244,178,checkbestodds
778276,2025-04-18,Baltimore Orioles,Cincinnati Reds,-182,140,checkbestodds
778277,2025-04-18,Detroit Tigers,Kansas City Royals,117,-147,checkbestodds
778284,2025-04-18,Atlanta Braves,Minnesota Twins,-156,125,checkbestodds
778243,2025-04-19,Los Angeles Angels,San Francisco Giants,114,-147,checkbestodds
778247,2025-04-19,Colorado Rockies,Washington Nationals,111,-145,checkbestodds
778251,2025-04-19,Texas Rangers,Los Angeles Dodgers,-120,-103,checkbestodds
778252,2025-04-19,Philadelphia Phillies,Miami Marlins,-238,172,checkbestodds
778253,2025-04-19,Milwaukee Brewers,Athletics,-141,116,checkbestodds
778254,2025-04-19,Pittsburgh Pirates,Cleveland Guardians,-185,151,checkbestodds
778255,2025-04-19,Tampa Bay Rays,New York Yankees,-130,-101,checkbestodds
778256,2025-04-19,New York Mets,St. Louis Cardinals,-217,172,checkbestodds
778257,2025-04-19,Chicago Cubs,Arizona Diamondbacks,-133,-104,checkbestodds
778258,2025-04-19,Toronto Blue Jays,Seattle Mariners,105,-123,checkbestodds
778259,2025-04-19,Houston Astros,San Diego Padres,102,-127,checkbestodds
