Id,year,date,name,course,City,State,Lat,Long,Course Par,Winning Score,CutLine,day0,day0low,day0high,day0avg,day0precip,day0wind,day1,day1low,day1high,day1avg,day1precip,day1wind,day2,day2low,day2high,day2avg,day2precip,day2wind
282010,2010,Jun 24 - 27,Travelers Championship,"TPC River Highlands - Cromwell, CT. ",Cromwell,CT,41.62,-72.66,70,-14,-2,6/23/2010,69.08,89.06,78.8,0.362204724,8.9778,6/24/2010,71.96,89.96,80.42,0.153543307,11.8553,6/25/2010,69.08,86,76.64,0,11.1647
282013,2013,Jul 4 - 7,The Greenbrier Classic,"The Old White Course - White Sulphur Springs, WV. ",White Sulphur Springs,WV,37.8,-80.45,70,-13,-1,7/3/2013,62.6,71.6,66.74,0,2.1869,7/4/2013,62.6,78.8,70.16,0,6.7909,7/5/2013,62.6,80.6,70.88,0,6.906
282014,2014,May 15 - 18,HP Byron Nelson Championship,"TPC Four Seasons Resort - Irving, TX. ",Irving,TX,32.83,-96.94,70,-14,1,5/14/2014,53.06,71.96,62.42,0.039370079,19.9123,5/15/2014,53.06,82.94,66.2,0,15.7687,5/16/2014,57.02,86,70.7,0,19.4519
282015,2015,May 14 - 17,Wells Fargo Championship,"Quail Hollow Club - Charlotte, NC. ",Charlotte,NC,35.23,-80.84,72,-21,0,5/13/2015,60.08,84.92,73.04,0,10.359,5/14/2015,57.92,75.02,67.64,0,14.963,5/15/2015,62.96,82.04,70.34,0,12.8912
282016,2016,May 12 - 15,THE PLAYERS Championship,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL. ",Ponte Vedra Beach,FL,30.24,-81.39,72,-15,-2,5/11/2016,62.96,86,76.1,0,10.8194,5/12/2016,62.96,87.08,75.92,0,12.4308,5/13/2016,66.92,91.04,77.18,0.330708661,10.8194
282017,2017,May 11 - 14,THE PLAYERS Championship,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL. ",Ponte Vedra Beach,FL,30.24,-81.39,72,-10,2,5/10/2017,60.08,93.02,76.46,0,9.0929,5/11/2017,68,93.92,80.24,0,19.9123,5/12/2017,68,91.94,79.88,0,20.718
282019,2019,Apr 18 - 21,RBC Heritage,"Harbour Town Golf Links - Hilton Head Island, SC. ",Hilton Head Island,SC,32.16,-80.75,71,-12,0,4/17/2019,53.06,80.06,65.3,0,7.8268,4/18/2019,59,82.04,70.34,0,20.2576,4/19/2019,59,80.06,72.86,0.291338583,31.8827
282022,2022,Apr 7 - 10,Masters Tournament,"Augusta, GA",Augusta,GA,33.47,-81.97,72,-10,4,4/6/2022,63.86,78.08,68.72,0.818897638,12.8912,4/7/2022,60.98,73.94,67.64,0.429133858,10.9345,4/8/2022,51.08,64.94,59.18,0,15.7687
292009,2009,Jul 9 - 12,John Deere Classic,"TPC Deere Run - Silvis, IL. ",Silvis,IL,41.51,-90.42,71,-20,-3,7/8/2009,60.08,66.02,63.14,0.921259843,19.7972,7/9/2009,60.08,75.02,67.46,0,14.963,7/10/2009,66.02,80.96,71.42,2.460629921,18.5311
292010,2010,Jul 1 - 4,AT&T National,"Aronimink GC - Newtown Square, PA. ",Newtown Square,PA,39.99,-75.4,70,-10,3,6/30/2010,56.84,78.8,69.26,0,6.3305,7/1/2010,53.06,75.56,66.02,0,7.3664,7/2/2010,50.36,79.16,66.56,0,4.0285
292013,2013,Jul 11 - 14,John Deere Classic,"TPC Deere Run - Silvis, IL. ",Silvis,IL,41.51,-90.42,71,-19,-4,7/10/2013,64.04,82.04,76.46,0,14.963,7/11/2013,59,80.06,70.16,0,9.4382,7/12/2013,57.02,82.04,70.7,0,8.6325
292014,2014,May 22 - 25,Crowne Plaza Invitational at Colonial,"Colonial Country Club - Fort Worth, TX. ",Fort Worth,TX,32.75,-97.33,70,-9,1,5/21/2014,69.08,89.06,78.8,0,28.5448,5/22/2014,68,87.98,78.26,0,22.3294,5/23/2014,71.06,84.02,77.36,0,21.1784
292015,2015,May 21 - 24,Crowne Plaza Invitational at  Colonial,"Colonial Country Club - Fort Worth, TX. ",Fort Worth,TX,32.75,-97.33,70,-12,4,5/20/2015,64.04,87.08,75.92,0,21.1784,5/21/2015,55.94,66.02,61.34,1.279527559,19.1066,5/22/2015,60.98,69.08,63.68,0.161417323,14.963
292016,2016,May 19 - 22,AT&T Byron Nelson,"TPC Four Seasons Resort - Irving, TX. ",Irving,TX,32.83,-96.94,70,-15,-2,5/18/2016,57.02,64.04,62.78,0.051181102,17.0348,5/19/2016,59,71.96,62.42,0.5,12.4308,5/20/2016,62.06,82.94,69.08,0,9.8986
292017,2017,May 18 - 21,AT&T Byron Nelson,"TPC Four Seasons Resort - Irving, TX. ",Irving,TX,32.83,-96.94,70,-12,2,5/17/2017,69.98,91.04,79.7,0.161417323,25.6673,5/18/2017,77,93.02,83.12,0,32.6884,5/19/2017,73.04,89.06,81.68,0.070866142,31.8827
